Transaction_ID,Date,Time,DateTime,Month,Quarter,Day_of_Week,Hour,WeekDay,WeekNumber,Is_Weekend,Is_Night_Txn,Sender_UPI,Receiver_UPI,Sender_Bank,Receiver_Bank,Sender_State,Receiver_State,Cross_State_Txn,Amount_INR,Amount_INR_Capped,Amount_Category,Transaction_Type,UPI_App,Device_Type,Is_Fraud,Fraud_Type,Fraud_Flag,Response_Time_Sec,Login_Attempts,New_Device_Used,Odd_Hour_Txn,Risk_Score,Risk_Label,Fraud_Velocity
TXN0001855,2024-01-01,06:04:11,2024-01-01 06:04:11,January,Q1,Monday,6,Monday,1,0,0,kavitha831@paytm,sanjay97@okhdfcbank,Icici,Yes Bank,Rajasthan,Madhya Pradesh,1,30787.82,30787.82,Large (₹10K-50K),P2P,Phonepe,Ios,0,,LEGITIMATE,55,1,0,0,36.5,Medium,0
TXN0002322,2024-01-01,06:50:10,2024-01-01 06:50:10,January,Q1,Monday,6,Monday,1,0,0,rekha711@okhdfcbank,ravi361@axisbank,Canara,Kotak,Punjab,Punjab,0,15525.43,15525.43,Large (₹10K-50K),Investment,Paytm,Android,0,,LEGITIMATE,32,2,0,0,12.0,Low,0
TXN0002205,2024-01-01,07:47:42,2024-01-01 07:47:42,January,Q1,Monday,7,Monday,1,0,0,priya188@upi,rajesh304@upi,Kotak,Union Bank,Uttar Pradesh,Delhi,1,43762.39,43762.39,Large (₹10K-50K),Emi,Bhim,Android,0,,LEGITIMATE,51,2,1,0,24.1,Low,0
TXN0002653,2024-01-01,11:18:39,2024-01-01 11:18:39,January,Q1,Monday,11,Monday,1,0,0,kavitha804@apl,priya5@icici,Pnb,Union Bank,Delhi,Karnataka,1,13175.12,13175.12,Large (₹10K-50K),P2P,Bhim,Android,0,,LEGITIMATE,59,1,0,0,39.0,Medium,0
TXN0002760,2024-01-01,14:36:21,2024-01-01 14:36:21,January,Q1,Monday,14,Monday,1,0,0,nisha647@icici,ashok84@apl,Canara,Kotak,Tamil Nadu,Karnataka,1,11010.27,11010.27,Large (₹10K-50K),Bill Payment,Whatsapp Pay,Android,0,,LEGITIMATE,11,1,0,0,24.2,Low,0
TXN0002842,2024-01-01,15:01:31,2024-01-01 15:01:31,January,Q1,Monday,15,Monday,1,0,0,neha847@axisbank,suresh974@upi,Sbi,Bob,Haryana,Punjab,1,21025.52,21025.52,Large (₹10K-50K),Emi,Mobikwik,Ios,0,,LEGITIMATE,57,1,1,0,5.0,Low,0
TXN0001269,2024-01-01,15:41:02,2024-01-01 15:41:02,January,Q1,Monday,15,Monday,1,0,0,rajesh735@axisbank,nisha77@oksbi,Pnb,Sbi,Kerala,Rajasthan,1,100000.0,100000.0,High (₹50K-2L),Bill Payment,Phonepe,Ios,0,,LEGITIMATE,16,1,0,0,29.8,Medium,0
TXN0002670,2024-01-01,18:40:11,2024-01-01 18:40:11,January,Q1,Monday,18,Monday,1,0,0,ashok825@apl,priya832@icici,Bob,Axis,Tamil Nadu,Haryana,1,3252.29,3252.29,Medium (₹2K-10K),P2M,Bhim,Ios,0,,LEGITIMATE,22,1,1,0,13.9,Low,0
TXN0003061,2024-01-01,20:11:49,2024-01-01 20:11:49,January,Q1,Monday,20,Monday,1,0,0,anita204@apl,amit505@icici,Bob,Sbi,Gujarat,Odisha,1,1906.82,1906.82,Small (₹500-2K),Emi,Phonepe,Web,0,,LEGITIMATE,34,2,0,0,2.4,Low,0
TXN0004146,2024-01-01,22:49:23,2024-01-01 22:49:23,January,Q1,Monday,22,Monday,1,0,0,neha99@apl,meena187@upi,Pnb,Bob,Telangana,Delhi,1,23129.08,23129.08,Large (₹10K-50K),Recharge,Paytm,Ios,0,,LEGITIMATE,45,1,1,0,6.1,Low,0
TXN0001417,2024-01-01,22:58:58,2024-01-01 22:58:58,January,Q1,Monday,22,Monday,1,0,0,anita437@upi,nisha290@axisbank,Pnb,Kotak,West Bengal,Haryana,1,6972.78,6972.78,Medium (₹2K-10K),P2M,Whatsapp Pay,Android,0,,LEGITIMATE,34,2,1,0,39.3,Medium,0
TXN0004297,2024-01-02,05:33:29,2024-01-02 05:33:29,January,Q1,Tuesday,5,Tuesday,1,0,1,pooja430@oksbi,rekha715@axisbank,Kotak,Sbi,Gujarat,Tamil Nadu,1,7159.92,7159.92,Medium (₹2K-10K),Emi,Amazon Pay,Ios,1,Social Engineering,FRAUD,1,7,1,1,77.7,Critical,1
TXN0004841,2024-01-02,06:07:03,2024-01-02 06:07:03,January,Q1,Tuesday,6,Tuesday,1,0,0,sanjay665@ybl,ashok645@oksbi,Kotak,Union Bank,West Bengal,Gujarat,1,589.73,589.73,Small (₹500-2K),Recharge,Mobikwik,Web,0,,LEGITIMATE,27,1,0,0,6.7,Low,0
TXN0000778,2024-01-02,06:41:52,2024-01-02 06:41:52,January,Q1,Tuesday,6,Tuesday,1,0,0,meena960@upi,kavitha703@upi,Sbi,Bob,Madhya Pradesh,Kerala,1,8954.07,8954.07,Medium (₹2K-10K),Emi,Mobikwik,Android,1,Phishing,FRAUD,2,3,0,0,83.0,Critical,1
TXN0004268,2024-01-02,08:26:43,2024-01-02 08:26:43,January,Q1,Tuesday,8,Tuesday,1,0,0,pooja990@okhdfcbank,rekha133@paytm,Sbi,Canara,Odisha,Tamil Nadu,1,12164.23,12164.23,Large (₹10K-50K),P2M,Mobikwik,Web,0,,LEGITIMATE,35,1,1,0,21.1,Low,0
TXN0003188,2024-01-02,10:45:10,2024-01-02 10:45:10,January,Q1,Tuesday,10,Tuesday,1,0,0,ravi928@icici,vikram259@icici,Union Bank,Bob,Bihar,Punjab,1,1379.64,1379.64,Small (₹500-2K),P2M,Whatsapp Pay,Ios,0,,LEGITIMATE,60,2,0,0,34.4,Medium,0
TXN0004451,2024-01-02,10:48:00,2024-01-02 10:48:00,January,Q1,Tuesday,10,Tuesday,1,0,0,sanjay39@apl,meena106@axisbank,Union Bank,Bob,Uttar Pradesh,Maharashtra,1,1900.55,1900.55,Small (₹500-2K),Recharge,Whatsapp Pay,Ios,0,,LEGITIMATE,30,2,0,0,37.6,Medium,0
TXN0001436,2024-01-02,11:32:02,2024-01-02 11:32:02,January,Q1,Tuesday,11,Tuesday,1,0,0,kavitha545@paytm,rajesh190@icici,Axis,Icici,Bihar,Rajasthan,1,1234.68,1234.68,Small (₹500-2K),Recharge,Phonepe,Android,0,,LEGITIMATE,12,1,1,0,2.8,Low,0
TXN0003039,2024-01-02,12:41:49,2024-01-02 12:41:49,January,Q1,Tuesday,12,Tuesday,1,0,0,suresh183@okhdfcbank,kavitha295@axisbank,Icici,Icici,Punjab,Delhi,1,3860.18,3860.18,Medium (₹2K-10K),P2P,Phonepe,Android,0,,LEGITIMATE,46,2,0,0,33.2,Medium,0
TXN0000600,2024-01-02,13:10:20,2024-01-02 13:10:20,January,Q1,Tuesday,13,Tuesday,1,0,0,amit171@icici,manish922@apl,Icici,Union Bank,Odisha,Haryana,1,40973.87,40973.87,Large (₹10K-50K),P2P,Bhim,Web,0,,LEGITIMATE,52,2,1,0,6.5,Low,0
TXN0000123,2024-01-02,13:29:22,2024-01-02 13:29:22,January,Q1,Tuesday,13,Tuesday,1,0,0,vikram283@axisbank,sunita33@upi,Kotak,Canara,Punjab,Haryana,1,791.56,791.56,Small (₹500-2K),P2P,Bhim,Web,0,,LEGITIMATE,39,2,0,0,25.0,Low,0
TXN0003573,2024-01-02,13:54:58,2024-01-02 13:54:58,January,Q1,Tuesday,13,Tuesday,1,0,0,arun166@ybl,neha933@paytm,Canara,Axis,Bihar,Madhya Pradesh,1,17691.32,17691.32,Large (₹10K-50K),Emi,Phonepe,Android,0,,LEGITIMATE,7,2,0,0,30.2,Medium,0
